"tz","utc","dst"
"Pacific/Honolulu","-10:00","n"
"America/Anchorage","-9:00","y"
"America/Los_Angeles","-8:00","y"
"America/Denver","-7:00","y"
"America/Mexico_City","-6:00","y"
"America/New_York","-5:00","y"
"America/Sao_Paulo","-3:00","n"
"Africa/Accra","0:00","n"
"Europe/London","0:00","y"
"Africa/Lagos","+1:00","n"
"Europe/Paris","+1:00","y"
"Africa/Johannesburg","+2:00","n"
"Europe/Athens","+2:00","y"
"Europe/Istanbul","+3:00","n"
"Asia/Dubai","+4:00","n"
"Asia/Karachi","+5:00","n"
"Asia/Calcutta","+5:30","n"
"Asia/Almaty","+6:00","n"
"Asia/Bangkok","+7:00","n"
"Asia/Hong_Kong","+8:00","n"
"Asia/Tokyo","+9:00","n"
"Australia/Melbourne","+10:00","y"
"Pacific/Auckland","+12:00","y"
